"78630e03a2cb3b70edec00869db163c07079d9bf,core/src/test/java/org/elasticsearch/common/settings/SettingsTests.java,SettingsTests.java,3,12139.440841729276,13,2,0,0,0,0,32,32,0,14,109,50,647,496,15,12154.326728720975,7,2,0,0,0,0,13,13,0,2,45,14,320,78,Rename Method,Rename Method	public testReplacePropertiesPlaceholderIgnores() : void renamed to public testReplacePropertiesPlaceholderIgnoresPrompt() : void in class org.elasticsearch.common.settings.SettingsTests"
"89e1a0fb7dd6227fb1d74d51644da7a52c3f7055,core/src/test/java/org/elasticsearch/plugins/PluginsServiceTests.java,PluginsServiceTests.java,25,1565.0651524967,14,11,0,0,0,0,12,11,1,12,38,22,199,171,35,1491.7477186900842,8,4,0,0,0,0,8,8,0,0,16,9,80,28,Extract Method,Extract Method	package newPluginsService(settings Settings, classpathPlugins Class<? extends Plugin>[]) : PluginsService extracted from public testAdditionalSettings() : void in class org.elasticsearch.plugins.PluginsServiceTests"
"07807f320a41eaf796c98f83a587c42d5e4e5d58,core/src/test/java/org/elasticsearch/action/admin/indices/template/put/MetaDataIndexTemplateServiceTests.java,MetaDataIndexTemplateServiceTests.java,25,1966.5814321733187,15,2,0,0,0,0,10,8,1,12,34,14,190,91,38,1116.598732568704,7,2,0,0,0,0,1,1,0,0,17,3,72,3,Extract Method,Extract Method	private putTemplate(request PutRequest) : List<Throwable> extracted from public testIndexTemplateInvalidNumberOfShards() : void in class org.elasticsearch.action.admin.indices.template.put.MetaDataIndexTemplateServiceTests"
"311faa822a19a1b3a97629bb947777df9579b10b,core/src/test/java/org/elasticsearch/action/admin/indices/template/put/MetaDataIndexTemplateServiceTests.java,MetaDataIndexTemplateServiceTests.java,25,1966.5814321733187,15,2,0,0,0,0,10,8,1,12,34,14,190,91,38,1116.598732568704,7,2,0,0,0,0,1,1,0,0,17,3,72,3,Extract Method,Extract Method	private putTemplate(request PutRequest) : List<Throwable> extracted from public testIndexTemplateInvalidNumberOfShards() : void in class org.elasticsearch.action.admin.indices.template.put.MetaDataIndexTemplateServiceTests"
"fc840407db5f8556ffacc431c5b22fbcbb4ecfcd,core/src/test/java/org/elasticsearch/plugins/PluginsServiceTests.java,PluginsServiceTests.java,25,1565.0651524967,14,11,0,0,0,0,12,11,1,12,38,22,199,171,35,1491.7477186900842,8,4,0,0,0,0,8,8,0,0,16,9,80,28,Extract Method,Extract Method	package newPluginsService(settings Settings, classpathPlugins Class<? extends Plugin>[]) : PluginsService extracted from public testAdditionalSettings() : void in class org.elasticsearch.plugins.PluginsServiceTests"
"faf526dccb51df866a8a6fc28fdb30ac0b4373b6,core/src/test/java/org/elasticsearch/plugins/PluginsServiceTests.java,PluginsServiceTests.java,25,1565.0651524967,14,11,0,0,0,0,12,11,1,12,38,22,199,171,35,1491.7477186900842,8,4,0,0,0,0,8,8,0,0,16,9,80,28,Extract Method,Extract Method	package newPluginsService(settings Settings, classpathPlugins Class<? extends Plugin>[]) : PluginsService extracted from public testAdditionalSettings() : void in class org.elasticsearch.plugins.PluginsServiceTests"
"e39a3bae2c9724d837f961268c6890649fd3089d,core/src/test/java/org/elasticsearch/plugins/PluginsServiceTests.java,PluginsServiceTests.java,25,1565.0651524967,14,11,0,0,0,0,12,11,1,12,38,22,199,171,35,1491.7477186900842,8,4,0,0,0,0,8,8,0,0,16,9,80,28,Extract Method,Extract Method	package newPluginsService(settings Settings, classpathPlugins Class<? extends Plugin>[]) : PluginsService extracted from public testAdditionalSettings() : void in class org.elasticsearch.plugins.PluginsServiceTests"
"be3409f1dbd38de5b61c5a29160828048501ef84,core/src/test/java/org/elasticsearch/index/query/MatchNoneQueryBuilderTests.java,MatchNoneQueryBuilderTests.java,45,395.4134229357366,7,2,0,0,0,0,3,1,0,0,6,3,46,3,49,261.5934338641933,6,3,0,0,0,0,3,0,0,0,2,3,36,3,Rename Method,Rename Method	protected supportsBoostAndQueryName() : boolean renamed to protected supportsBoostAndQueryNameParsing() : boolean in class org.elasticsearch.index.query.MatchNoneQueryBuilderTests"
"be3409f1dbd38de5b61c5a29160828048501ef84,core/src/test/java/org/elasticsearch/index/query/WrapperQueryBuilderTests.java,WrapperQueryBuilderTests.java,28,1337.1023450579207,19,2,0,0,0,0,11,7,0,1,26,18,151,55,37,1204.965495993888,10,3,0,0,0,0,4,1,0,1,23,9,67,6,Rename Method,Rename Method	protected supportsBoostAndQueryName() : boolean renamed to protected supportsBoostAndQueryNameParsing() : boolean in class org.elasticsearch.index.query.WrapperQueryBuilderTests"
"50c43c9328b248cd5357ef90fee57ec9f31772dc,core/src/test/java/org/elasticsearch/index/query/MatchNoneQueryBuilderTests.java,MatchNoneQueryBuilderTests.java,45,395.4134229357366,7,2,0,0,0,0,3,1,0,0,6,3,46,3,46,395.4134229357366,7,3,0,0,0,0,3,0,0,0,5,3,40,3,Rename Method,Rename Method	protected supportsBoostAndQueryNameParsing() : boolean renamed to protected supportsBoostAndQueryName() : boolean in class org.elasticsearch.index.query.MatchNoneQueryBuilderTests"
"50c43c9328b248cd5357ef90fee57ec9f31772dc,core/src/test/java/org/elasticsearch/index/query/WrapperQueryBuilderTests.java,WrapperQueryBuilderTests.java,29,1128.4933005134633,19,2,0,0,0,0,11,7,0,1,26,18,151,55,37,1337.1023450579207,10,3,0,0,0,0,5,1,0,1,23,10,70,10,Rename Method,Rename Method	protected supportsBoostAndQueryNameParsing() : boolean renamed to protected supportsBoostAndQueryName() : boolean in class org.elasticsearch.index.query.WrapperQueryBuilderTests"
"1b8047e51c02c518c8f9b04d168a849e8d973bcf,core/src/test/java/org/elasticsearch/plugins/PluginsServiceTests.java,PluginsServiceTests.java,24,1582.248967792453,14,11,0,0,0,0,12,11,1,12,38,22,199,171,35,1491.7477186900842,8,4,0,0,0,0,8,8,0,0,16,9,80,28,Extract Method,Extract Method	package newPluginsService(settings Settings, classpathPlugins Class<? extends Plugin>[]) : PluginsService extracted from public testAdditionalSettings() : void in class org.elasticsearch.plugins.PluginsServiceTests"
"52f3c89c3b8be4fef24ba1f548b58120f875a7b6,core/src/test/java/org/elasticsearch/cluster/serialization/DiffableTests.java,DiffableTests.java,7,3329.877262537243,32,6,0,9,0,0,30,11,4,9,69,90,385,1621,29,3329.877262537243,15,3,0,2,1,1,6,6,0,0,24,9,114,24,Rename Method,Rename Method	public testImmutableMapDiff() : void renamed to public testJdkMapDiff() : void in class org.elasticsearch.cluster.serialization.DiffableTests"
"13720eb583de98d3d88b1cb2719b80714127686e,core/src/test/java/org/elasticsearch/cluster/serialization/DiffableTests.java,DiffableTests.java,7,3329.877262537243,32,6,0,9,0,0,30,11,4,9,69,90,385,1621,29,3329.877262537243,15,3,0,2,1,1,6,6,0,0,24,9,114,24,Rename Method,Rename Method	public testImmutableMapDiff() : void renamed to public testJdkMapDiff() : void in class org.elasticsearch.cluster.serialization.DiffableTests"
"34de79370f2b7e220d254484ebb2e01cb94b74f2,core/src/test/java/org/elasticsearch/cluster/serialization/DiffableTests.java,DiffableTests.java,7,3329.877262537243,32,6,0,9,0,0,30,11,4,9,69,90,385,1621,29,3329.877262537243,15,3,0,2,1,1,6,6,0,0,24,9,114,24,Rename Method,Rename Method	public testImmutableMapDiff() : void renamed to public testJdkMapDiff() : void in class org.elasticsearch.cluster.serialization.DiffableTests"
"9f08d48d340783fc8096b52d3c8f3631c2e21312,core/src/test/java/org/elasticsearch/cluster/serialization/DiffableTests.java,DiffableTests.java,7,3329.877262537243,32,6,0,9,0,0,30,11,4,9,69,90,385,1621,29,3329.877262537243,15,3,0,2,1,1,6,6,0,0,24,9,114,24,Rename Method,Rename Method	public testImmutableMapDiff() : void renamed to public testJdkMapDiff() : void in class org.elasticsearch.cluster.serialization.DiffableTests"
"f2ae29a1cbe6b5d1e5b86cc9df9067e9c0b97c32,core/src/test/java/org/elasticsearch/indices/recovery/RecoverySourceHandlerTests.java,RecoverySourceHandlerTests.java,11,6475.125741543433,46,2,0,4,0,1,9,6,0,13,88,45,387,182,20,6201.03878786128,21,2,0,2,0,0,4,3,0,3,44,23,213,8,Extract Method,Extract Method	private newStore(path Path, checkIndex boolean) : Store extracted from private newStore(path Path) : Store in class org.elasticsearch.indices.recovery.RecoverySourceHandlerTests"
"64727b78dea2097f8cfc594368d92a8b53efad43,core/src/test/java/org/elasticsearch/common/cache/CacheTests.java,CacheTests.java,0,12469.889609672964,5,2,0,4,0,0,24,24,0,30,86,152,759,29,4,11194.31007288102,4,2,0,3,0,0,15,15,0,19,51,79,403,0,Rename Method,Rename Method	public testExpiration() : void renamed to public testExpirationAfterWrite() : void in class org.elasticsearch.common.cache.CacheTests"
"8fdf897bc62eb187372ccc1d9bbf0f6443909b5e,core/src/test/java/org/elasticsearch/plugins/PluginsServiceTests.java,PluginsServiceTests.java,24,1582.248967792453,14,11,0,0,0,0,12,11,1,12,38,22,199,171,35,1491.7477186900842,8,4,0,0,0,0,8,8,0,0,16,9,80,28,Extract Method,Extract Method	package newPluginsService(settings Settings, classpathPlugins Class<? extends Plugin>[]) : PluginsService extracted from public testAdditionalSettings() : void in class org.elasticsearch.plugins.PluginsServiceTests"
"9d1c45f3e0891faa367d828b7583410e60331fad,core/src/test/java/org/elasticsearch/search/builder/SearchSourceBuilderTests.java,SearchSourceBuilderTests.java,11,12095.706853621941,17,2,0,0,0,0,19,15,1,2,74,23,415,171,3,12265.216368616422,35,2,0,3,0,3,11,7,3,2,99,82,404,44,Inline Method,Inline Method	protected parseQuery(queryAsString String, matcher ParseFieldMatcher) : SearchSourceBuilder inlined to public testFromXContent() : void in class org.elasticsearch.search.builder.SearchSourceBuilderTests"
"5b23d9abdc5323b55480810595a716b4999887d1,core/src/test/java/org/elasticsearch/search/builder/SearchSourceBuilderTests.java,SearchSourceBuilderTests.java,11,12486.101143825408,17,2,0,0,0,0,19,15,1,2,74,23,415,171,4,12095.706853621941,35,2,0,3,0,3,10,7,3,6,98,81,390,46,Extract Method,Extract Method	private assertParseSearchSource(testBuilder SearchSourceBuilder, builderAsString String) : void extracted from public testFromXContent() : void in class org.elasticsearch.search.builder.SearchSourceBuilderTests"
"c133bec4bd378766837e5c63acc2859a44f2183f,core/src/test/java/org/elasticsearch/index/shard/IndexShardTests.java,IndexShardTests.java,0,47556.64871112045,90,3,0,4,0,0,77,66,3,79,319,264,2178,7989,0,45176.72900425586,78,3,0,2,0,0,36,32,2,24,255,73,894,1116,Extract Method,Extract Method	private reinitWithWrapper(indexService IndexService, shard IndexShard, wrapper IndexSearcherWrapper) : IndexShard extracted from public testSearcherWrapperIsUsed() : void in class org.elasticsearch.index.shard.IndexShardTests"
"461ce98ff5849be5ac436b06bc8f00aace365e78,core/src/test/java/org/elasticsearch/index/shard/IndexShardTests.java,IndexShardTests.java,0,47556.64871112045,90,3,0,4,0,0,77,66,3,79,319,264,2178,7989,0,45176.72900425586,78,3,0,2,0,0,36,32,2,24,255,73,894,1116,Extract Method,Extract Method	private reinitWithWrapper(indexService IndexService, shard IndexShard, wrapper IndexSearcherWrapper) : IndexShard extracted from public testSearcherWrapperIsUsed() : void in class org.elasticsearch.index.shard.IndexShardTests"
"46396570624613a30cdfee31659134985bb88295,core/src/test/java/org/elasticsearch/index/shard/IndexShardTests.java,IndexShardTests.java,0,47458.94022721246,90,3,0,4,0,0,77,66,3,79,319,264,2178,7989,0,43626.65798560622,78,3,0,2,0,0,35,31,2,23,238,75,878,1164,Extract Method,Extract Method	private reinitWithWrapper(indexService IndexService, shard IndexShard, wrapper IndexSearcherWrapper) : IndexShard extracted from public testSearcherWrapperIsUsed() : void in class org.elasticsearch.index.shard.IndexShardTests"
"c618f75b7640365387ad790bb6e485e16990da9f,core/src/test/java/org/elasticsearch/index/shard/IndexShardTests.java,IndexShardTests.java,0,47556.64871112045,90,3,0,4,0,0,77,66,3,79,319,264,2178,7989,0,43722.819655856394,78,3,0,2,0,0,35,31,2,23,238,75,878,1164,Extract Method,Extract Method	private reinitWithWrapper(indexService IndexService, shard IndexShard, wrapper IndexSearcherWrapper) : IndexShard extracted from public testSearcherWrapperIsUsed() : void in class org.elasticsearch.index.shard.IndexShardTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/action/search/MultiSearchRequestTests.java,MultiSearchRequestTests.java,21,10916.325480738124,12,2,0,0,0,0,10,8,0,1,32,10,185,45,22,11053.206937706787,11,2,0,0,0,0,6,6,0,5,27,6,169,15,Rename Method,Rename Method	public simpleAdd() : void renamed to public testSimpleAdd() : void in class org.elasticsearch.action.search.MultiSearchRequestTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/cluster/DiskUsageTests.java,DiskUsageTests.java,21,7051.221315650682,20,2,0,0,0,0,6,5,0,14,45,9,206,15,24,7117.33414634668,17,2,0,0,0,0,5,4,0,4,35,8,159,10,Rename Method,Rename Method	public diskUsageCalcTest() : void renamed to public testDiskUsageCalc() : void in class org.elasticsearch.cluster.DiskUsageTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/cluster/metadata/IndexNameExpressionResolverTests.java,IndexNameExpressionResolverTests.java,0,31219.779755905627,14,2,0,1,0,0,46,44,2,28,79,67,963,43,0,31726.290088455342,13,2,0,1,0,0,38,35,0,14,54,82,748,151,Rename Method,Rename Method	public testIndexOptions_strict() : void renamed to public testIndexOptionsStrict() : void in class org.elasticsearch.cluster.metadata.IndexNameExpressionResolverTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/cluster/node/DiscoveryNodeFiltersTests.java,DiscoveryNodeFiltersTests.java,18,7628.807213620797,13,2,0,1,0,1,20,19,3,61,25,22,236,34,19,7857.521515837304,10,2,0,1,0,1,17,16,2,20,18,18,226,26,Rename Method,Rename Method	public nameMatch() : void renamed to public testNameMatch() : void in class org.elasticsearch.cluster.node.DiscoveryNodeFiltersTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/cluster/routing/allocation/AllocationCommandsTests.java,AllocationCommandsTests.java,9,20907.36022885679,22,2,0,1,0,0,7,5,0,3,76,22,459,15,13,21039.443299290317,16,2,0,1,0,0,5,5,0,1,55,14,344,4,Rename Method,Rename Method	public moveShardCommand() : void renamed to public testMoveShardCommand() : void in class org.elasticsearch.cluster.routing.allocation.AllocationCommandsTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/cluster/routing/allocation/decider/DiskThresholdDeciderTests.java,DiskThresholdDeciderTests.java,0,43892.95509622649,33,2,0,0,0,0,11,10,0,23,70,24,903,171,0,44090.60426556757,34,2,0,0,0,0,11,10,1,27,59,30,902,351,Rename Method,Rename Method	public diskThresholdTest() : void renamed to public testDiskThreshold() : void in class org.elasticsearch.cluster.routing.allocation.decider.DiskThresholdDeciderTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/common/BooleansTests.java,BooleansTests.java,29,3122.5813393345734,2,2,0,2,0,2,8,8,0,0,26,14,110,22,33,3182.3115790571624,3,2,0,0,0,0,4,4,0,0,21,7,78,6,Rename Method,Rename Method	public parseBoolean() : void renamed to public testParseBoolean() : void in class org.elasticsearch.common.BooleansTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/common/lucene/search/MultiPhrasePrefixQueryTests.java,MultiPhrasePrefixQueryTests.java,39,1750.2980520293424,10,2,0,0,0,0,1,1,0,0,7,1,58,0,37,1714.5814028097648,13,2,0,0,0,0,2,2,0,0,11,2,72,1,Rename Method,Rename Method	public simpleTests() : void renamed to public testSimple() : void in class org.elasticsearch.common.lucene.search.MultiPhrasePrefixQueryTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/common/util/ArrayUtilsTests.java,ArrayUtilsTests.java,31,2618.5557518897876,2,2,0,0,0,0,4,2,0,9,18,21,90,6,30,2712.543885409864,3,2,0,0,0,0,4,2,0,9,18,21,98,6,Rename Method,Rename Method	public binarySearch() : void renamed to public testBinarySearch() : void in class org.elasticsearch.common.util.ArrayUtilsTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/common/util/CollectionUtilsTests.java,CollectionUtilsTests.java,23,4741.345846797165,6,2,0,0,0,0,9,9,0,25,32,25,162,36,23,4676.48857936731,7,2,0,0,0,0,9,9,0,25,32,25,160,36,Rename Method,Rename Method	public rotateEmpty() : void renamed to public testRotateEmpty() : void in class org.elasticsearch.common.util.CollectionUtilsTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/common/xcontent/builder/XContentBuilderTests.java,XContentBuilderTests.java,11,11192.156991721424,9,2,0,0,0,0,22,21,0,7,64,38,339,231,13,11472.0,11,2,0,0,0,0,18,17,0,4,61,31,316,153,Rename Method,Rename Method	public verifyReuseJsonGenerator() : void renamed to public testReuseJsonGenerator() : void in class org.elasticsearch.common.xcontent.builder.XContentBuilderTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/common/xcontent/support/XContentMapValuesTests.java,XContentMapValuesTests.java,8,22295.870423569326,7,3,0,0,0,0,18,16,1,10,56,30,412,153,7,22634.955375291374,4,2,0,0,0,0,17,17,0,11,52,31,484,136,Rename Method,Rename Method	public prefixedNamesFilteringTest() : void renamed to public testPrefixedNamesFilteringTest() : void in class org.elasticsearch.common.xcontent.support.XContentMapValuesTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/discovery/zen/ElectMasterServiceTests.java,ElectMasterServiceTests.java,26,2067.678225226443,8,2,0,0,0,0,9,6,0,7,43,32,137,36,31,2040.217549065706,6,2,0,0,0,0,4,2,0,1,22,23,91,6,Rename Method,Rename Method	public sortByMasterLikelihood() : void renamed to public testSortByMasterLikelihood() : void in class org.elasticsearch.discovery.zen.ElectMasterServiceTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/gateway/MetaStateServiceTests.java,MetaStateServiceTests.java,33,2306.742614322445,6,2,0,1,0,1,5,5,0,0,20,5,89,4,31,2402.803151093273,7,2,0,1,0,1,6,5,0,0,23,8,103,9,Rename Method,Rename Method	public tesLoadGlobal() : void renamed to public testLoadGlobal() : void in class org.elasticsearch.gateway.MetaStateServiceTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/index/query/GeoBoundingBoxQueryBuilderTests.java,GeoBoundingBoxQueryBuilderTests.java,8,11630.977264444096,20,6,0,3,0,1,35,31,0,0,65,54,375,589,8,11327.375361160108,21,7,0,3,0,1,33,29,0,12,53,56,369,522,Rename Method,Rename Method	public checkStrictnessDefault() : void renamed to public testStrictnessDefault() : void in class org.elasticsearch.index.query.GeoBoundingBoxQueryBuilderTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/index/query/functionscore/FunctionScoreQueryBuilderTests.java,FunctionScoreQueryBuilderTests.java,0,16434.447122643847,52,4,0,2,1,2,39,25,5,11,107,95,771,735,0,16178.786415817971,32,2,0,0,0,0,16,13,1,4,75,80,556,120,Rename Method,Rename Method	public testCustomWeightFactorQueryBuilder_withFunctionScore() : void renamed to public testCustomWeightFactorQueryBuilderWithFunctionScore() : void in class org.elasticsearch.index.query.functionscore.FunctionScoreQueryBuilderTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/index/search/geo/GeoUtilsTests.java,GeoUtilsTests.java,0,36872.91249612029,11,2,0,2,0,2,37,36,1,105,58,78,544,636,0,36032.731788464094,12,2,0,2,0,2,37,36,1,105,55,78,566,636,Rename Method,Rename Method	public testQuadTreeLevelsForPrecision_String() : void renamed to public testQuadTreeLevelsForPrecisionString() : void in class org.elasticsearch.index.search.geo.GeoUtilsTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/index/snapshots/blobstore/SlicedInputStreamTests.java,SlicedInputStreamTests.java,28,2869.8138059491916,4,4,0,1,1,0,5,2,0,0,21,19,118,13,28,2831.859647575963,5,4,0,1,1,0,5,3,0,0,21,19,116,13,Rename Method,Rename Method	public readRandom() : void renamed to public testReadRandom() : void in class org.elasticsearch.index.snapshots.blobstore.SlicedInputStreamTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/index/translog/TranslogTests.java,TranslogTests.java,0,44074.57104495203,62,7,0,20,0,0,91,68,2,114,331,424,2325,1711,0,43946.83479128332,30,2,0,8,0,1,36,28,1,39,183,173,1010,39,Rename Method,Rename Method	public deleteOnSnapshotRelease() : void renamed to public testDeleteOnSnapshotRelease() : void in class org.elasticsearch.index.translog.TranslogTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/indices/store/IndicesStoreTests.java,IndicesStoreTests.java,28,6828.008499126971,9,2,0,2,0,1,4,4,0,3,20,17,93,0,21,6899.505970322019,16,2,0,3,0,1,7,7,0,1,30,29,169,0,Rename Method,Rename Method	public testShardCanBeDeleted_noShardRouting() : void renamed to public testShardCanBeDeletedNoShardRouting() : void in class org.elasticsearch.indices.store.IndicesStoreTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/search/aggregations/bucket/significant/SignificanceHeuristicTests.java,SignificanceHeuristicTests.java,7,13540.929774077502,49,5,0,0,0,0,27,11,2,16,78,47,451,351,10,13812.392711673769,35,3,0,0,0,0,17,9,0,0,50,36,366,136,Rename Method,Rename Method	public streamResponse() : void renamed to public testStreamResponse() : void in class org.elasticsearch.search.aggregations.bucket.significant.SignificanceHeuristicTests"
