"286c1719879e0b5d1b0d665d4bdfdf835e0f7b40,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskImpl.java,TestTaskImpl.java,1,12444.66385148365,50,4,0,26,0,1,59,35,0,1,61,65,640,196,7,11730.555393451585,49,4,0,28,0,1,47,24,0,1,52,47,454,235,Rename Method,Rename Method	private runSpeculativeTaskAttemptSucceedsEvenIfFirstFails(failEvent TaskEventType) : void renamed to private runSpeculativeTaskAttemptSucceeds(firstAttemptFinishEvent TaskEventType) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskImpl"
"ff3d880ea760324ad6d1466f9499d4a0e2fbc9ff,hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestKerberosAuthenticationHandler.java,TestKerberosAuthenticationHandler.java,17,5061.995779177242,16,2,0,1,0,0,15,12,0,1,55,32,264,0,22,5019.181329339826,13,2,0,1,0,0,10,8,0,1,41,24,180,0,Extract Method,Extract Method	protected getDefaultProperties() : Properties extracted from protected setUp() : void in class org.apache.hadoop.security.authentication.server.TestKerberosAuthenticationHandler"
"3246031593c65f50fe089c0a260211b513d44489,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/impl/TestMetricsSystemImpl.java,TestMetricsSystemImpl.java,3,11918.129685650692,38,1,0,22,0,2,32,28,1,13,86,68,520,616,11,10097.857082411187,32,1,0,14,0,2,20,17,1,10,67,46,309,229,Rename Method,Rename Method	public testInitFirst() : void renamed to public testInitFirstVerifyStopInvokedImmediately() : void in class org.apache.hadoop.metrics2.impl.TestMetricsSystemImpl"
"402eb1851341fce72c8e46266a2578bb67b5b684,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestJobImpl.java,TestJobImpl.java,0,19684.015643372757,69,8,0,13,0,2,42,33,8,80,101,92,925,1075,13,12469.21540309892,41,2,0,3,0,0,13,10,2,5,59,17,366,85,Extract Method,Extract Method	private createStubbedJob(conf Configuration, dispatcher Dispatcher, numSplits int) : StubbedJob extracted from public testTransitionsAtFailed() : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestJobImpl"
"52742c9a656457a9bbfdfffaba83ac44ea5fe123,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestJobImpl.java,TestJobImpl.java,0,19684.015643372757,69,8,0,13,0,2,42,33,8,80,101,92,925,1075,13,12469.21540309892,41,2,0,3,0,0,13,10,2,5,59,17,366,85,Extract Method,Extract Method	private createStubbedJob(conf Configuration, dispatcher Dispatcher, numSplits int) : StubbedJob extracted from public testTransitionsAtFailed() : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestJobImpl"
"d1c051a393cb324d4ee023c9c5c9ca2c83675966,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestJobImpl.java,TestJobImpl.java,0,19684.015643372757,69,8,0,13,0,2,42,33,8,80,101,92,925,1075,13,12469.21540309892,41,2,0,3,0,0,13,10,2,5,59,17,366,85,Extract Method,Extract Method	private createStubbedJob(conf Configuration, dispatcher Dispatcher, numSplits int) : StubbedJob extracted from public testTransitionsAtFailed() : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestJobImpl"
"1f12d4fe9444c298dfc92d16939703a20407489b,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestJobImpl.java,TestJobImpl.java,0,19684.015643372757,69,8,0,13,0,2,42,33,8,80,101,92,925,1075,13,12469.21540309892,41,2,0,3,0,0,13,10,2,5,59,17,366,85,Extract Method,Extract Method	private createStubbedJob(conf Configuration, dispatcher Dispatcher, numSplits int) : StubbedJob extracted from public testTransitionsAtFailed() : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestJobImpl"
"3555e7c574de5a6d163c5375a31de290776b2ab0,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/protocolPB/TestPBHelper.java,TestPBHelper.java,2,20405.037271651956,62,1,0,1,0,1,45,30,4,17,112,57,583,990,7,18579.004803031403,52,1,0,1,0,1,35,24,4,17,84,43,444,595,Extract Method,Extract Method	private compare(expected LocatedBlock, actual LocatedBlock) : void extracted from public testConvertLocatedBlock() : void in class org.apache.hadoop.hdfs.protocolPB.TestPBHelper"
"5da072bd59827025535436ff50714986a680b2d7,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/protocolPB/TestPBHelper.java,TestPBHelper.java,2,20405.037271651956,62,1,0,1,0,1,45,30,4,17,112,57,583,990,7,18579.004803031403,52,1,0,1,0,1,35,24,4,17,84,43,444,595,Extract Method,Extract Method	private compare(expected LocatedBlock, actual LocatedBlock) : void extracted from public testConvertLocatedBlock() : void in class org.apache.hadoop.hdfs.protocolPB.TestPBHelper"
"d2737575ad52137d870c62a3bd7a8dcf83b189ac,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/net/unix/TestDomainSocket.java,TestDomainSocket.java,0,18951.739951640866,17,5,0,9,0,2,42,38,3,16,81,108,709,1099,0,19029.73735583128,17,5,0,9,0,2,38,34,3,16,72,94,656,859,Rename Method,Rename Method	public checkPrecondition() : void renamed to public before() : void in class org.apache.hadoop.net.unix.TestDomainSocket"
"90d6d55a4bef8d5ebc130fe0be870652798d4ef6,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/protocolPB/TestPBHelper.java,TestPBHelper.java,2,20405.037271651956,62,1,0,1,0,1,45,30,4,17,112,57,583,990,7,18060.594677659406,52,1,0,1,0,1,34,23,4,17,84,42,427,561,Extract Method,Extract Method	private compare(expected LocatedBlock, actual LocatedBlock) : void extracted from public testConvertLocatedBlock() : void in class org.apache.hadoop.hdfs.protocolPB.TestPBHelper"
"90d6d55a4bef8d5ebc130fe0be870652798d4ef6,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestJobImpl.java,TestJobImpl.java,0,21458.128440147564,69,8,0,13,0,2,42,33,8,80,101,92,925,1075,13,12469.21540309892,41,2,0,3,0,0,13,10,2,5,59,17,366,85,Extract Method,Extract Method	private createStubbedJob(conf Configuration, dispatcher Dispatcher, numSplits int) : StubbedJob extracted from public testTransitionsAtFailed() : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestJobImpl"
"12bf674e8eeae15ff9ad86dccd91ef644ab52775,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/protocolPB/TestPBHelper.java,TestPBHelper.java,2,20405.037271651956,62,1,0,1,0,1,45,30,4,17,112,57,583,990,7,18060.594677659406,52,1,0,1,0,1,34,23,4,17,84,42,427,561,Extract Method,Extract Method	private compare(expected LocatedBlock, actual LocatedBlock) : void extracted from public testConvertLocatedBlock() : void in class org.apache.hadoop.hdfs.protocolPB.TestPBHelper"
"54dbffebaa8f35f6821ecc84648dc43d0549ba0c,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/protocolPB/TestPBHelper.java,TestPBHelper.java,2,20405.037271651956,62,1,0,1,0,1,45,30,4,17,112,57,583,990,7,18060.594677659406,52,1,0,1,0,1,34,23,4,17,84,42,427,561,Extract Method,Extract Method	private compare(expected LocatedBlock, actual LocatedBlock) : void extracted from public testConvertLocatedBlock() : void in class org.apache.hadoop.hdfs.protocolPB.TestPBHelper"
"4e74c52e60213a8ddceb53bb3cc40221c65d8bf3,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestPeerCache.java,TestPeerCache.java,15,6710.087428211693,14,1,0,4,0,1,23,23,0,2,20,39,258,212,17,6431.106088514988,13,1,0,6,0,3,20,20,0,2,19,33,245,166,Rename Method,Rename Method	public testMultiplePeersWithSameDnId() : void renamed to public testMultiplePeersWithSameKey() : void in class org.apache.hadoop.hdfs.TestPeerCache"
"e668c16975d90f673c3cfdfaeae5d24a1918d586,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/impl/TestMetricsSystemImpl.java,TestMetricsSystemImpl.java,3,11918.129685650692,38,1,0,22,0,2,32,28,1,13,86,68,520,616,11,10097.857082411187,32,1,0,14,0,2,20,17,1,10,67,46,309,229,Rename Method,Rename Method	public testInitFirst() : void renamed to public testInitFirstVerifyStopInvokedImmediately() : void in class org.apache.hadoop.metrics2.impl.TestMetricsSystemImpl"
"df1a40364b3502ec90a6945b5b697037aec6560e,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/impl/TestMetricsSystemImpl.java,TestMetricsSystemImpl.java,3,11918.129685650692,38,1,0,22,0,2,32,28,1,13,86,68,520,616,11,10097.857082411187,32,1,0,14,0,2,20,17,1,10,67,46,309,229,Rename Method,Rename Method	public testInitFirst() : void renamed to public testInitFirstVerifyStopInvokedImmediately() : void in class org.apache.hadoop.metrics2.impl.TestMetricsSystemImpl"
"40df526bd32de251958e00402b3552b57b65e35c,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/impl/TestMetricsSystemImpl.java,TestMetricsSystemImpl.java,3,11918.129685650692,38,1,0,22,0,2,32,28,1,13,86,68,520,616,11,10097.857082411187,32,1,0,14,0,2,20,17,1,10,67,46,309,229,Rename Method,Rename Method	public testInitFirst() : void renamed to public testInitFirstVerifyStopInvokedImmediately() : void in class org.apache.hadoop.metrics2.impl.TestMetricsSystemImpl"
"3d318847556c504e37dc48394d4e44bbaf18290b,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/metrics/TestNameNodeMetrics.java,TestNameNodeMetrics.java,9,7773.231551001896,28,1,0,14,1,9,21,15,1,11,82,30,562,22,17,7705.937323699296,19,1,0,11,0,6,13,9,1,8,44,15,286,0,Extract Method,Extract Method	private waitForDeletion() : void extracted from public testFileAdd() : void in class org.apache.hadoop.hdfs.server.namenode.metrics.TestNameNodeMetrics"
"4525c4a25ba90163c9543116e2bd54239e0dd097,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestINodeFile.java,TestINodeFile.java,0,10224.0,45,1,0,6,1,4,39,25,4,6,153,83,968,509,13,8745.814574196578,15,1,0,5,0,2,13,11,0,1,37,25,359,0,Rename Method,Rename Method	public TestInodeId() : void renamed to public testInodeId() : void in class org.apache.hadoop.hdfs.server.namenode.TestINodeFile"
"6dbec6e10a01a1daf7d1b2795a003282c9a2a5ae,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestINodeFile.java,TestINodeFile.java,0,10224.0,45,1,0,6,1,4,39,25,4,6,153,83,968,509,13,8745.814574196578,15,1,0,5,0,2,13,11,0,1,37,25,359,0,Rename Method,Rename Method	public TestInodeId() : void renamed to public testInodeId() : void in class org.apache.hadoop.hdfs.server.namenode.TestINodeFile"
"4f7d921324c7fa9623c34688e3f2aa57fbfcb8b3,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/snapshot/TestSnapshot.java,TestSnapshot.java,0,21558.698347063168,41,17,0,41,3,13,55,9,1,31,111,133,956,117,0,18440.54264601814,33,12,0,31,3,9,43,6,1,21,77,95,667,97,Extract Method,Extract Method	private runTestSnapshot() : void extracted from public testSnapshot() : void in class org.apache.hadoop.hdfs.server.namenode.snapshot.TestSnapshot"
"fa8bafbd4673d385498e81874e58cd0eafad3d22,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestINodeFile.java,TestINodeFile.java,0,10240.0,45,1,0,6,1,4,39,25,4,6,153,83,968,509,13,8761.39037931536,15,1,0,5,0,2,13,11,0,1,37,25,359,0,Rename Method,Rename Method	public TestInodeId() : void renamed to public testInodeId() : void in class org.apache.hadoop.hdfs.server.namenode.TestINodeFile"
"02e6b72ae148fc8c2ba02ef624536b9e48997b31,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestINodeFile.java,TestINodeFile.java,0,9685.573751806714,45,1,0,6,1,4,39,25,4,6,153,83,968,509,11,10240.0,21,1,0,5,0,2,14,12,0,2,47,29,400,1,Extract Method,Extract Method	package createINodeFile(replication short, preferredBlockSize long) : INodeFile extracted from public testReplication() : void in class org.apache.hadoop.hdfs.server.namenode.TestINodeFile"
"f61581501aa774fd67cf1ac72693ee88285e87e1,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/impl/TestMetricsSystemImpl.java,TestMetricsSystemImpl.java,3,11918.129685650692,38,1,0,22,0,2,32,28,1,13,86,68,520,616,11,10097.857082411187,32,1,0,14,0,2,20,17,1,10,67,46,309,229,Rename Method,Rename Method	public testInitFirst() : void renamed to public testInitFirstVerifyStopInvokedImmediately() : void in class org.apache.hadoop.metrics2.impl.TestMetricsSystemImpl"
"f61581501aa774fd67cf1ac72693ee88285e87e1,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestINodeFile.java,TestINodeFile.java,0,10224.0,45,1,0,6,1,4,39,25,4,6,153,83,968,509,13,8745.814574196578,15,1,0,5,0,2,13,11,0,1,37,25,359,0,Rename Method,Rename Method	public TestInodeId() : void renamed to public testInodeId() : void in class org.apache.hadoop.hdfs.server.namenode.TestINodeFile"
"e2a618e1cc3fb99115547af6540932860dc6766e,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestINodeFile.java,TestINodeFile.java,0,9386.704506957296,45,1,0,6,1,4,39,25,4,6,153,83,968,509,12,9685.573751806714,22,1,0,5,0,2,15,12,0,2,49,30,386,0,Rename Method,Rename Method	public testAppendBlocks() : void renamed to public testConcatBlocks() : void in class org.apache.hadoop.hdfs.server.namenode.TestINodeFile"
"7eb7b3b723c524ece8ef2247943eb631fefcfe41,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestUserGroupInformation.java,TestUserGroupInformation.java,0,23762.445437001898,23,3,0,9,0,7,44,39,3,11,110,84,796,1250,1,20233.302815762887,21,2,0,6,0,6,33,30,2,5,85,63,596,754,Extract Method,Extract Method	private testConstructorSuccess(principal String, shortName String) : void extracted from public testConstructor() : void in class org.apache.hadoop.security.TestUserGroupInformation"
"8e2098fd2fb7a79ffd2757d72da2d9ba753dc3ec,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestUserGroupInformation.java,TestUserGroupInformation.java,0,21153.5637882219,23,3,0,9,0,7,44,39,3,11,110,84,796,1250,3,17652.063306355096,21,2,0,6,0,6,32,29,2,4,76,55,547,719,Extract Method,Extract Method	private testConstructorSuccess(principal String, shortName String) : void extracted from public testConstructor() : void in class org.apache.hadoop.security.TestUserGroupInformation"
"b8d6cda268c26ed87b78aae9becc885f4adbf6ea,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestUserGroupInformation.java,TestUserGroupInformation.java,0,21180.199787394293,23,3,0,9,0,7,44,39,3,11,110,84,796,1250,3,17652.063306355096,21,2,0,6,0,6,32,29,2,4,76,55,547,719,Extract Method,Extract Method	private testConstructorSuccess(principal String, shortName String) : void extracted from public testConstructor() : void in class org.apache.hadoop.security.TestUserGroupInformation"
"698e3f8ae57f1a587b4f06711990cd1f0eff4ef5,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestUserGroupInformation.java,TestUserGroupInformation.java,0,23762.445437001898,23,3,0,9,0,7,44,39,3,11,110,84,796,1250,1,20233.302815762887,21,2,0,6,0,6,33,30,2,5,85,63,596,754,Extract Method,Extract Method	private testConstructorSuccess(principal String, shortName String) : void extracted from public testConstructor() : void in class org.apache.hadoop.security.TestUserGroupInformation"
"fc5fd80e9fa21b9c3981fb5afc8fce376aa6a2d9,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestLdapGroupsMapping.java,TestLdapGroupsMapping.java,27,3290.9955756620216,8,2,0,0,0,0,7,6,0,5,37,8,153,21,32,2340.5035196464614,5,1,0,2,0,0,3,3,0,2,31,3,107,1,Extract Method,Extract Method	private doTestGetGroups(expectedGroups List<String>, searchTimes int) : void extracted from public testGetGroups() : void in class org.apache.hadoop.security.TestLdapGroupsMapping"
"c427540ced4b9ac751f9ba89cba64b3e243fe4f2,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestLdapGroupsMapping.java,TestLdapGroupsMapping.java,27,3290.9955756620216,8,2,0,0,0,0,7,6,0,5,37,8,153,21,32,2340.5035196464614,5,1,0,2,0,0,3,3,0,2,31,3,107,1,Extract Method,Extract Method	private doTestGetGroups(expectedGroups List<String>, searchTimes int) : void extracted from public testGetGroups() : void in class org.apache.hadoop.security.TestLdapGroupsMapping"
"967b62f5d23e5e3b3573caab5cf03d089e5bcc11,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/TestLogAggregationService.java,TestLogAggregationService.java,0,27158.416552715273,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,2,25158.478297148038,44,2,0,3,0,1,17,10,2,20,132,41,693,58,Rename Method,Rename Method	public testLogAggregationInitFailsWithoutKillingNM() : void renamed to public testLogAggregationInitAppFailsWithoutKillingNM() : void in class org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.TestLogAggregationService"
"d80e21f7bc367a49bec3968040c053c878ae1aec,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/TestLogAggregationService.java,TestLogAggregationService.java,0,27158.416552715273,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,2,25158.478297148038,44,2,0,3,0,1,17,10,2,20,132,41,693,58,Rename Method,Rename Method	public testLogAggregationInitFailsWithoutKillingNM() : void renamed to public testLogAggregationInitAppFailsWithoutKillingNM() : void in class org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.TestLogAggregationService"
"f5bbc2d950a27d06ad6538e9be767e2e6ba26a23,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestLdapGroupsMapping.java,TestLdapGroupsMapping.java,27,3290.9955756620216,8,2,0,0,0,0,7,6,0,5,37,8,153,21,32,2340.5035196464614,5,1,0,2,0,0,3,3,0,2,31,3,107,1,Extract Method,Extract Method	private doTestGetGroups(expectedGroups List<String>, searchTimes int) : void extracted from public testGetGroups() : void in class org.apache.hadoop.security.TestLdapGroupsMapping"
"f5bbc2d950a27d06ad6538e9be767e2e6ba26a23,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/TestLogAggregationService.java,TestLogAggregationService.java,0,27158.416552715273,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,2,25158.478297148038,44,2,0,3,0,1,17,10,2,20,132,41,693,58,Rename Method,Rename Method	public testLogAggregationInitFailsWithoutKillingNM() : void renamed to public testLogAggregationInitAppFailsWithoutKillingNM() : void in class org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.TestLogAggregationService"
"c45c8ee720fe4aff918d83972d57764a83f2891d,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestLdapGroupsMapping.java,TestLdapGroupsMapping.java,27,3290.9955756620216,8,2,0,0,0,0,7,6,0,5,37,8,153,21,32,2340.5035196464614,5,1,0,2,0,0,3,3,0,2,31,3,107,1,Extract Method,Extract Method	private doTestGetGroups(expectedGroups List<String>, searchTimes int) : void extracted from public testGetGroups() : void in class org.apache.hadoop.security.TestLdapGroupsMapping"
"c45c8ee720fe4aff918d83972d57764a83f2891d,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestUserGroupInformation.java,TestUserGroupInformation.java,0,23762.445437001898,23,3,0,9,0,7,44,39,3,11,110,84,796,1250,3,18819.321052246818,21,2,0,6,0,6,32,29,2,5,82,55,572,715,Extract Method,Extract Method	private testConstructorSuccess(principal String, shortName String) : void extracted from public testConstructor() : void in class org.apache.hadoop.security.TestUserGroupInformation"
"c45c8ee720fe4aff918d83972d57764a83f2891d,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/test/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/logaggregation/TestLogAggregationService.java,TestLogAggregationService.java,0,27158.416552715273,72,2,0,7,0,1,35,24,2,36,192,90,1411,168,2,24905.06943135943,48,2,0,3,0,1,17,10,2,18,130,41,689,58,Rename Method,Rename Method	public testLogAggregationInitFailsWithoutKillingNM() : void renamed to public testLogAggregationInitAppFailsWithoutKillingNM() : void in class org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.TestLogAggregationService"
